Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.2,desc,taxi,taxi-departure,Non-mapping,Non-categorical,0.922680412371134,0.188034188034188,0.1575178997613365,0.2332155477031802
v2.2,desc,taxi,taxi-arriveby,Non-mapping,Non-categorical,0.9525230602278894,0.5218579234972678,0.3812375249500998,0.8268398268398268
v2.2,both,hotel,hotel-pricerange,Non-mapping,Categorical,0.842919153553988,0.3840425531914893,0.4871794871794871,0.3169446883230904
v2.2,both,hotel,hotel-type,Non-mapping,Categorical,0.8102278893109062,0.2249307479224376,0.2942028985507246,0.1820627802690582
v2.2,both,hotel,hotel-parking,Non-mapping,Categorical,0.8510580575149214,0.0334507042253521,0.0473815461346633,0.0258503401360544
v2.2,both,hotel,hotel-bookday,Non-mapping,Categorical,0.9267498643516008,0.7213622291021672,0.6760154738878144,0.7732300884955752
v2.2,both,hotel,hotel-bookpeople,Mapping,Categorical,0.7440314704286489,0.286578449905482,0.2320881812614819,0.3745059288537549
v2.2,both,hotel,hotel-bookstay,Mapping,Categorical,0.9301410743353228,0.776959722823733,0.6379800853485064,0.9933554817275748
v2.2,both,hotel,hotel-stars,Mapping,Categorical,0.939636462289745,0.81419624217119,0.7689274447949527,0.865128660159716
v2.2,both,hotel,hotel-internet,Non-mapping,Categorical,0.847802495930548,0.0070796460176991,0.0303030303030303,0.0040080160320641
v2.2,both,hotel,hotel-name,Mapping,Non-categorical,0.765735214324471,0.2355024347056219,0.1487695749440716,0.564755838641189
v2.2,both,hotel,hotel-area,Non-mapping,Categorical,0.773060227889311,0.3727034120734908,0.2679245283018868,0.6120689655172413
v2.2,both,train,train-arriveby,Non-mapping,Non-categorical,0.8244709712425393,0.5680907877169559,0.5050445103857567,0.6491228070175439
v2.2,both,train,train-departure,Mapping,Non-categorical,0.6827183939229517,0.3935701322271195,0.254954652334565,0.8625
v2.2,both,train,train-day,Non-mapping,Categorical,0.8878187737384698,0.8253431890179512,0.7894949494949495,0.8646017699115044
v2.2,both,train,train-bookpeople,Mapping,Categorical,0.6752577319587629,0.4551661356395083,0.3040437823046518,0.9049773755656108
v2.2,both,train,train-leaveat,Non-mapping,Non-categorical,0.7803852414541509,0.4587094617184888,0.3271340009537434,0.767337807606264
v2.2,both,train,train-destination,Mapping,Non-categorical,0.5841020075963104,0.2503667481662591,0.1543563460958697,0.6623544631306598
v2.2,both,attraction,attraction-area,Non-mapping,Categorical,0.7973412913727618,0.3593481989708404,0.4923619271445358,0.2829169480081026
v2.2,both,attraction,attraction-name,Mapping,Non-categorical,0.8171459576776994,0.0,0.0,0.0
v2.2,both,attraction,attraction-type,Mapping,Categorical,0.8440043407487792,0.5839363241678726,0.6265527950310559,0.5467479674796748
